country,id,q1_term_positions,q1_no_term,q1_local_accessibility,q1_micro_accessibility,q1_neighbourhood_accessibility,q1_walking_accessibility,q1_non_motorized_accessibility,q1_active_accessibility,q1_accessibility_by_proximity,q1_proximity_based_accessibility,q1_active_travel_or_human_powered_transportation,q1_pedestrian_accessibility,q1_bicycle_accessibility,q1_short_based_accessibility,q1_urban_accessibility,q1_sustainable_accessibility,q1_other,q2_other_term,q3_term_comment,q4_nearby_distance,q5_jobs,q5_pre_primary_schools,q5_primary_schools,q5_high_schools,q5_higher_education_facilities,q5_hospitals,q5_pharmacies,q5_general_practitioner_medical_doctor,q5_sports_facilities_a_place_to_practice_sports,q5_parks_green_spaces,q5_playground,q5_banks_atm,q5_restaurants_cafes,q5_food_shopping,q5_non_food_shopping,q5_cinema_theater_other_cultural_facilities,q5_post_office_pick_up_points,q5_beauty_salon,q6_jobs2,q6_pre_primary_schools2,q6_primary_schools2,q6_high_schools2,q6_higher_education_facilities2,q6_hospitals2,q6_pharmacies2,q6_general_practitioner_medical_doctor_2,q6_sports_facilities_a_place_to_practice_sports_2,q6_parks_green_spaces2,q6_playground2,q6_banks_atm2,q6_restaurants_cafes2,q6_food_shopping2,q6_non_food_shopping2,q6_cinema_theater_other_cultural_facilities2,q6_post_office_pick_up_points2,q6_beauty_salon2,q7_any_additional_activity,q8_additional_activity,q9_reasonable_time_to_additional_activity,q10_professional_activity_positions,q10_political_responsibilities_politicians_decision_makers,q10_technical_responsibilities_planners,q10_consultant_responsibilities,q10_other_responsibilities,q11_importance_proximity_profession,q12_professional_field_positions,q12_urban_planning_land_use_planning_spatial_planning,q12_transport_planning_traffic_planning_traffic_engineering,q12_any_other_professional_field,q13_other_professional_field,q14_city_size_positions,q14_megacities_above_10_000_000_inhabitants,q14_very_large_cities_between_500_000_and_10_000_000_inhabitants,q14_large_cities_between_250_000_and_500_000_inhabitants,q14_medium_cities_between_100_000_and_250_000_inhabitants,q14_small_cities_100_000_inhabitants,q15_city,age,sex
BRAZIL,18,4;,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,3,3,5,5,3,3,5,3,5,3,2,3,2,2,4,2,2,2,2,5,3,4,5,5,3,5,3,4,5,5,5,5,3,5,5,5,5,Não,,,2;,0,1,0,0,5,2;,0,1,0,,3;,0,0,1,0,0,Franca - SP,3,1
BRAZIL,19,4;11;13;14;,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,,,1,3,5,4,3,2,3,4,4,3,2,4,2,2,4,3,2,4,2,5,2,3,3,6,5,4,3,4,6,2,5,5,2,4,6,3,3,Não,,,2;,0,1,0,0,4,2;,0,1,0,,2;,0,1,0,0,0,São José dos Campos - SP,3,1
BRAZIL,20,2;4;9;13;14;,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,,,1,5,5,5,5,3,2,5,3,4,4,5,3,4,5,2,2,2,2,3,2,2,3,5,5,2,3,4,4,3,3,3,3,2,3,3,3,Não,,,2;,0,1,0,0,3,2;,0,1,0,,1,1,0,0,0,0,São Paulo,2,1
BRAZIL,21,1;2;,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,4,4,5,3,3,3,3,3,3,3,3,2,2,2,3,3,2,3,4,3,3,Não,,,1;2;,1,1,0,0,5,2;,0,1,0,,3;,0,0,1,0,0,Cascavel/PR,3,2
BRAZIL,22,14;1;3;,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,,,4,4,5,5,4,3,4,5,4,2,3,5,4,4,5,5,3,3,3,5,4,5,7,7,6,2,3,6,6,1,4,7,6,7,6,6,2,Não,,,1;2;,1,1,0,0,5,1;2;,1,1,0,,2;,0,1,0,0,0,Belo Horizonte/MG,3,1
BRAZIL,23,11;4;,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,,,2,5,5,4,3,2,2,3,4,3,3,5,1,2,4,1,2,1,3,4,3,3,4,5,5,3,4,4,2,1,5,3,2,4,4,5,3,Sim,pet shop,15min,2;,0,1,0,0,4,2;,0,1,0,,3;,0,0,1,0,0,Uberaba/MG,4,1
BRAZIL,24,4;5;,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,,1,5,5,5,5,3,5,5,4,3,3,3,3,2,3,2,2,3,3,5,3,3,3,6,2,4,3,5,5,5,4,5,4,4,4,3,4,Não,,,2;,0,1,0,0,5,2;,0,1,0,,3;,0,0,1,0,0,Taboão da Serra,2,1
BRAZIL,25,9;,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,1,5,5,5,5,4,5,4,5,5,5,4,3,3,4,3,3,3,4,4,3,4,5,4,5,6,5,5,4,5,5,4,6,5,6,5,6,Não,,,2;,0,1,0,0,4,2;,0,1,0,,3;,0,0,1,0,0,Jundiaí/SP,2,1
BRAZIL,26,9;11;13;4;,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,,,1,4,5,5,5,5,5,5,5,4,4,5,5,4,5,4,5,5,5,4,4,4,4,4,2,2,2,4,4,2,4,4,2,4,4,4,4,Não,,,1;,1,0,0,0,4,3;,0,0,1,Econômica,2;,0,1,0,0,0,Feira de Santana - BA,5,2
BRAZIL,27,2;1;6;9;,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,,,2,4,5,5,4,4,4,5,5,5,4,5,2,3,4,2,3,2,3,3,2,2,4,4,3,2,2,2,3,2,5,4,3,5,3,4,4,Não,,,2;,0,1,0,0,5,2;,0,1,0,,2;,0,1,0,0,0,Belo Horizonte,2,1
BRAZIL,28,4;,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,ainda é um termo novo assim como foi mobilidade urbana para substituir trânsito e transportes,1,4,5,5,5,3,4,5,5,4,4,4,3,3,4,3,3,3,1,3,2,2,2,3,2,2,2,3,3,2,3,3,2,3,4,4,4,Não,,,2;,0,1,0,0,5,2;,0,1,0,,3;,0,0,1,0,0,anápolis/go,5,1
BRAZIL,29,14;,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,"Penso que, a expressão Sustainable Accessibility, nos permite abarcar um numero maior de questões que envolve o desenvolvimento das cidades brasileiras.",1,5,5,5,4,4,4,3,5,3,4,3,3,3,4,2,3,3,2,3,2,2,4,4,1,4,1,2,2,2,4,4,2,4,5,3,5,Sim,Posto policial.,5min,2;,0,1,0,0,5,2;,0,1,0,,3;,0,0,1,0,0,Vitória da Conquista-BA,4,1
BRAZIL,30,0;,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,5,5,5,1,1,4,4,4,2,2,3,4,4,4,2,4,4,6,2,2,2,6,3,3,2,3,4,4,4,3,2,2,3,4,4,Não,,,2;,0,1,0,0,3,2;,0,1,0,,2;,0,1,0,0,0,Campinas/SP,3,1
BRAZIL,31,1;3;,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,Visto que geralmente falamos com o público em geral achamos melhor usar uma linguagem mais coloquial.,2,2,5,5,4,3,5,3,4,3,3,4,1,2,3,2,1,2,1,4,2,2,4,4,2,4,2,4,3,2,5,5,4,4,5,5,5,Não,,,2;,0,1,0,0,5,3;,0,0,1,Educação para o Trânsito,4;,0,0,0,1,0,Jacareí/SP,3,1
BRAZIL,32,0;,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,2,2,2,2,2,1,1,1,3,2,3,1,3,3,2,1,1,1,3,3,3,3,3,2,1,2,2,2,2,1,1,1,3,4,1,2,Não,,,2;,0,1,0,0,3,2;,0,1,0,,2;,0,1,0,0,0,Florianópolis/SC,2,1
BRAZIL,33,5;,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,3,2,4,4,4,4,5,5,5,1,2,3,3,4,4,3,3,2,2,5,3,3,3,3,2,2,2,6,6,5,6,4,4,5,5,6,5,Sim,Terminais de Integração,15min,2;,0,1,0,0,4,2;,0,1,0,,2;,0,1,0,0,0,São José dos Campos/SP,2,1
BRAZIL,34,0;,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2,5,5,5,5,5,3,5,4,2,1,4,4,4,4,3,2,2,2,3,2,2,2,3,4,2,2,5,6,3,3,4,3,3,6,4,4,Não,,,2;,0,1,0,0,5,2;,0,1,0,,4;,0,0,0,1,0,Cachoeiro de Itapemirim/ ES,4,1
BRAZIL,35,1;2;4;,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,"""É perto! Não dá nem 10 minutos andando""",2,5,5,5,4,4,4,5,4,2,3,3,3,4,5,3,3,2,2,5,3,3,5,5,4,3,4,5,5,3,3,2,4,5,5,6,5,Não,,,2;,0,1,0,0,4,2;3;,0,1,1,Planejamento de transportes.,2;,0,1,0,0,0,Manaus,5,2
BRAZIL,36,2;9;,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,,4,3,5,5,4,3,3,4,4,4,4,5,3,4,4,4,3,3,4,4,2,2,4,5,4,3,2,3,2,2,4,3,3,3,3,4,3,Não,,,2;,0,1,0,0,5,2;,0,1,0,,2;,0,1,0,0,0,São Paulo,3,2
BRAZIL,37,4;,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Área de influência pré estabelecida para o deslocamento de um indivíduo.,2,5,5,5,5,5,5,5,5,4,4,4,4,3,5,3,3,3,3,5,4,4,4,5,3,3,3,3,4,3,3,3,3,4,4,4,3,Não,,,2;,0,1,0,0,5,2;,0,1,0,,3;,0,0,1,0,0,Taboão da Serra/SP,5,1
BRAZIL,38,1;3;15;,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,cidade de 15 minutos,"Não costumo utilizar muito o termo Accessibility by Proximity, cidade de 15 minutos é mais utilizado, criação de centralidades e Neighbourhood Accessibility.",3,3,5,4,3,2,2,5,5,5,5,5,4,5,5,5,4,4,5,4,2,3,4,5,4,1,2,2,2,1,3,1,1,2,4,4,2,Não,,,2;,0,1,0,0,5,2;,0,1,0,,2;,0,1,0,0,0,Florianópolis/SC,2,1
BRAZIL,39,2;,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3,5,5,5,4,4,5,3,3,5,5,4,1,3,4,2,1,1,3,1,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,Não,,,1;,1,0,0,0,5,1;2;,1,1,0,,2;,0,1,0,0,0,São Luis,2,1
BRAZIL,40,2;,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2,3,5,5,4,2,3,4,4,4,4,5,4,3,5,4,3,2,4,4,2,2,3,4,3,2,2,3,3,2,3,3,2,4,5,4,3,Não,,,2;,0,1,0,0,5,2;,0,1,0,,2;,0,1,0,0,0,Ribeirão Preto - SP,6,1
BRAZIL,41,1;2;3;8;,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,Nada a declarar,"A expressão ""Neighbourhood Accessibility"" é muito usada em SP, no caso das linhas locais de distribuição. São Linhas que operam com veículos menores, o maior é o ônibus básico, com cerca de 12 metros. Elas atuam nos bairros, fazem ligações regionais e sua função é a de integração com linhas de maior capacidade (estruturais) e com o sistema metroferroviário.",3,3,5,5,5,3,3,3,5,5,4,5,3,3,4,2,2,4,2,5,1,1,1,5,5,3,1,1,3,1,3,5,2,4,5,2,5,Não,,,2;,0,1,0,0,5,2;,0,1,0,Nda,1,1,0,0,0,0,"São Paulo,- SP",5,2
BRAZIL,42,3;1;4;,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,1,1,5,4,3,2,4,5,5,5,5,5,3,5,5,2,3,1,1,3,1,2,3,3,3,1,1,1,1,1,3,2,1,3,2,3,3,Não,,,1;2;3;,1,1,1,0,5,1;2;,1,1,0,,3;,0,0,1,0,0,Imperatriz/Maranhão,2,1
BRAZIL,43,6;,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,4,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,1,3,4,4,4,4,4,4,4,4,4,4,4,Não,,,2;,0,1,0,0,5,2;,0,1,0,,3;,0,0,1,0,0,PALMAS-TO,3,1
BRAZIL,44,2;9;13;14;11;4;6;,0,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,,,3,4,5,5,4,3,3,4,4,4,4,5,3,4,4,3,3,3,2,6,4,4,4,6,4,3,4,3,3,3,5,3,3,4,5,4,5,Não,,,2;,0,1,0,0,4,2;,0,1,0,,1,1,0,0,0,0,Santo André / São Paulo,2,2
BRAZIL,45,6;5;9;14;11;4;13;2;,0,0,1,0,1,1,1,0,0,1,0,1,0,1,1,0,,,3,4,5,5,4,4,3,4,4,2,1,3,3,3,3,1,1,1,2,4,2,2,3,4,5,3,2,4,5,3,2,2,2,4,5,5,4,Sim,Padarias,10min,2;3;,0,1,1,0,5,1;2;,1,1,0,,4;,0,0,0,1,0,Ubá/MG,2,1
BRAZIL,46,0;,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,5,1,5,5,5,3,4,5,4,4,4,4,3,4,5,4,4,3,4,7,2,2,2,5,3,2,3,5,5,4,3,3,3,3,5,7,3,Não,,,4s;,0,0,0,0,5,3;,0,0,1,Controle e Monitoramento da Arrecadação do Sistema de Transporte,1,1,0,0,0,0,São Paulo,3,1
BRAZIL,47,4;15;,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Facilidade de acesso a pé,,2,5,5,4,4,4,3,5,4,5,4,5,3,5,5,5,4,4,5,3,3,3,3,3,3,2,3,2,3,2,3,1,1,2,3,3,2,Não,,,2;,0,1,0,0,5,1;,1,0,0,,3;,0,0,1,0,0,Vila Velha,2,2
BRAZIL,48,0;,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2,5,5,5,4,3,5,5,5,4,4,5,4,3,4,3,3,2,2,4,2,2,5,5,1,1,1,3,3,2,2,4,4,5,4,5,5,Não,,,2;,0,1,0,0,5,1;2;,1,1,0,,2;,0,1,0,0,0,"Campos dos Goytacazes, Rio de Janeiro",2,2
BRAZIL,49,1;15;,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Centralidades acessíveis,,5,4,5,4,3,2,4,2,5,3,3,4,3,2,4,3,2,2,2,4,2,3,4,5,3,3,2,3,3,2,4,5,3,4,5,5,4,Não,,,1;2;,1,1,0,0,5,2;,0,1,0,,3;,0,0,1,0,0,Jundiaí/SP,4,1
BRAZIL,50,1;3;,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,2,5,5,5,4,3,5,5,5,5,5,5,4,4,5,4,3,4,3,3,2,3,4,5,2,2,2,2,2,2,3,3,3,3,4,3,3,Não,,,2;,0,1,0,0,5,1;,1,0,0,,2;,0,1,0,0,0,Ribeirão Preto,3,2
BRAZIL,51,5;9;4;,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,,"Geralmente uso o conceito de ""distância de até 15 minutos"" quando preciso explicar ou me referir a Accessibility by Proximity.",3,3,5,4,3,3,2,5,5,5,5,5,3,4,5,5,2,2,2,5,3,3,5,5,4,1,2,2,2,2,3,2,2,2,4,4,4,Não,,,2;,0,1,0,0,4,2;,0,1,0,,2;,0,1,0,0,0,Minas Gerais,1,2
BRAZIL,52,2;,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Eu acho o conceito Accessibility by Proximity, uma expressão subjetiva pois depende muito do motivo do deslocamento e do uso e ocupação do solo no espaço geográfico.",5,5,5,5,4,4,3,3,3,4,4,4,3,3,4,3,3,3,3,3,3,3,4,5,5,2,4,4,3,2,3,3,3,4,4,4,4,Não,,,2;,0,1,0,0,5,2;1;,1,1,0,,2;,0,1,0,0,0,Aparecida de Goiânia/GO,3,1
BRAZIL,53,6;,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,Imagino a acessibilidade por aproximação(15min) sendo realizada pelos modais a pé e bicicleta.,3,4,5,5,5,4,4,5,4,3,4,4,3,3,5,3,4,4,4,5,3,3,3,3,3,3,3,3,4,3,4,4,3,5,4,3,5,Não,,,2;,0,1,0,0,5,2;,0,1,0,,2;,0,1,0,0,0,Goiânia/Goiás,5,1
BRAZIL,54,13;4;11;,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,,,5,3,5,5,5,4,4,5,5,4,5,5,5,3,5,4,3,3,4,6,2,3,4,6,6,2,3,5,5,4,2,5,3,5,6,5,5,Não,,,2;,0,1,0,0,4,2;,0,1,0,,3;,0,0,1,0,0,Gravataí/RS,3,2
BRAZIL,55,1;2;4;9;11;13;,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,,,4,3,5,5,3,2,3,5,5,4,5,5,5,5,5,5,4,5,5,4,1,2,4,5,5,1,2,3,2,1,1,1,1,1,4,1,1,Não,,,2;3;1;,1,1,1,0,5,2;,0,1,0,,2;,0,1,0,0,0,Ribeirão Preto/SP,3,2
BRAZIL,56,11;6;,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,,,2,3,5,5,4,3,3,5,5,4,4,4,4,3,5,3,3,3,3,5,2,2,3,4,4,2,2,4,4,2,2,4,2,4,4,3,3,Não,,,1;,1,0,0,0,5,2;,0,1,0,,3;,0,0,1,0,0,São Paulo,3,1
BRAZIL,57,1;2;3;14;,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,,,1,5,5,4,3,1,2,4,3,3,3,4,2,1,4,2,1,1,2,2,1,2,3,4,4,2,3,3,2,1,2,3,1,3,3,4,3,Não,,,2;,0,1,0,0,5,2;1;,1,1,0,,2;,0,1,0,0,0,Fortaleza-Ce,5,1
BRAZIL,58,1;2;4;12;14;,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,,,3,4,5,5,5,3,3,5,5,4,4,4,2,4,5,2,2,3,4,5,3,3,4,5,4,3,3,4,3,3,3,3,3,5,5,5,4,Não,,,2;,0,1,0,0,4,2;,0,1,0,,2;,0,1,0,0,0,Porto Alegre,2,1
BRAZIL,59,1;2;3;4;5;6;7;8;9;10;11;12;13;14;,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,,"Acessibilidade universal que se trata da facilidade do individuo com limitação física ou não de acessar e usufruir de maneira livre e independente de um lugar, produto ou serviço.",2,3,5,4,3,3,3,4,4,5,5,5,4,3,4,3,3,3,4,3,2,2,3,3,3,1,3,1,1,1,2,3,3,2,3,3,2,Não,,,2;,0,1,0,0,5,1;,1,0,0,,2;,0,1,0,0,0,GOIÂNIA,3,2
BRAZIL,60,2;9;1;,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,Accessibility by Proximity é trabalhar o desenvolvimento de novas centralidades pelo espaço urbano oferencendo comércio e serviços em curtas distâncias. Descentralizar o espaço urbano.,1,5,5,4,3,3,2,4,5,3,5,4,3,4,5,3,2,2,3,3,3,4,5,5,5,2,3,4,2,3,4,3,2,4,5,5,4,Não,,,2;,0,1,0,0,5,2;1;,1,1,0,,2;,0,1,0,0,0,Maceió-AL,2,1
